TimeStamp, Channel, Quality, Alpha, Low_beta, High_beta, Gamma, Theta
08.40.59.189, IED_AF3, 4, 3.054059, 1.656969, 1.159787, 0.641345, 5.732891 
08.40.59.192, IED_F7, 4, 2.037927, 0.967531, 1.024451, 1.593682, 18.523626 
08.40.59.195, IED_F3, 4, 0.587958, 0.230418, 0.154477, 0.114619, 1.123725 
08.40.59.197, IED_FC5, 4, 8.005439, 2.133791, 1.813696, 2.548663, 24.079015 
08.40.59.199, IED_T7, 4, 0.410583, 0.399137, 0.399025, 0.629754, 3.781956 
08.40.59.202, IED_P7, 4, 2.055221, 0.254625, 0.222353, 0.323879, 2.159713 
08.40.59.206, IED_Pz, 4, 3.594253, 0.676476, 0.311260, 0.522837, 2.297454 
08.40.59.209, IED_O1, 4, 3.594253, 0.676476, 0.311260, 0.522837, 2.297454 
08.40.59.211, IED_O2, 4, 15.308400, 2.137816, 1.115502, 0.455748, 9.499622 
08.40.59.214, IED_P8, 4, 15.772582, 2.037800, 1.570948, 0.635426, 8.983954 
08.40.59.217, IED_T8, 4, 4.373892, 1.660405, 1.279245, 0.792043, 4.670768 
08.40.59.219, IED_FC6, 4, 1.331762, 1.422971, 1.525335, 2.532188, 3.640942 
08.40.59.221, IED_F4, 4, 3.059005, 0.931835, 0.569360, 0.346189, 3.822160 
08.40.59.222, IED_F8, 4, 113.228059, 77.875472, 27.069126, 4.909878, 935.411612 
08.40.59.224, IED_AF4, 4, 2.998611, 0.866896, 0.769945, 0.438929, 4.055601 
08.41.00.227, IED_AF3, 4, 5.953478, 2.070813, 0.723491, 0.526749, 5.911806 
08.41.00.229, IED_F7, 4, 5.801563, 0.669440, 0.259137, 0.180150, 4.363498 
08.41.00.230, IED_F3, 4, 1.814319, 0.241341, 0.113217, 0.082210, 1.114186 
08.41.00.231, IED_FC5, 4, 5.778581, 0.735451, 0.346863, 0.209141, 3.297277 
08.41.00.233, IED_T7, 4, 0.457083, 0.125903, 0.086762, 0.139608, 0.775351 
08.41.00.234, IED_P7, 4, 2.263648, 0.151913, 0.128114, 0.132988, 0.559489 
08.41.00.237, IED_Pz, 4, 6.213997, 0.439812, 0.335560, 0.257855, 1.545594 
08.41.00.240, IED_O1, 4, 6.213997, 0.439812, 0.335560, 0.257855, 1.545594 
08.41.00.243, IED_O2, 4, 19.568913, 0.300302, 0.416984, 0.126675, 3.099083 
08.41.00.247, IED_P8, 4, 14.730164, 0.480040, 0.537535, 0.220158, 3.981647 
